"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923371170629871","0.943316000192529","0.957551495004553","0.984958026809376","1.02500603223764","1.03784812793658","1.05240950655034","1.07289179614285","1.13091703346446","1.13955892558185","1.12586291239167","1.16305010241529","1.19604132896429","1.20864669228633","1.21006876394409","1.23273705484475","1.23752658217184","1.26713820674172","1.29617578207541","1.31017240007378","1.27860494942333","1.30294060707092","1.31876661849032","1.28702435899103","1.3117209860102","1.36631378592424","1.36001458924542","1.35663664340973","1.37060558795929","1.42321181297302","1.4119086265564","1.36395359039307","1.31338022439979","1.35282116097066","",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1998697275086","8.80071752185604","9.196888260347","10.0699941212549","10.9116040745526","11.7344348455491","12.2029654391202","14.5576162878987","14.5818363060565","14.1789193737911","14.5430529448396","16.6134779097919","16.9302950898685","16.8815458389923","16.1278038080551","15.8235824504332","15.9236559656703","15.4202070236206","14.8562349775318","15.026434394062","15.3352430921872","14.5879421234131","14.8979708918235","14.8009414284672","",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05946358254951E-08","2.11427822864006E-08","1.19175630997201E-07","1.18486472779645E-06","2.64035046367875E-05","0.000497957581657704","0.0239638472425435","0.046044057850882","0.0634535661485228","0.411386382751462","2.08385618156508","4.20538919835262","10.0411136615168","19.0953840280588","24.814288919381","34.2551043281762","38.9179279223406","39.5238764875812","46.286180578114","38.2914517654221","50.0401515853838","64.6057510375977","66.0171856203882","66.6955727425879","66.0018757612622","69.5859035283092","82.8633266447229","95.8372421264648","111.44181060791","124.439605712891","146.909133911133","174.090515136719","184.785137872931","209.759608034553","256.498886900301",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26070371159632","2.96336035444228","9.6476788179675","21.2659927029937","28.2843244170005","30.4291859349008","34.9424744828948","38.731805043457","40.7186844476692","41.1015858477132","42.0198484037869","42.8112728380428","42.9262445746368","44.5905976561474","44.8973988982454","45.5273577966321","44.4124917214002","44.6246428337388","44.5611870338898","44.3394459240415","44.20371259135","43.857779579512","43.6552268058138","44.1136707316633","42.8939738742452","42.6944194050643","42.3866840518861","42.256141915037","42.303743875366","40.5510809940788","40.2108202853522","41.1677433135","39.8016535046","40.5953118194","39.680165668",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.481169191592838","0.497707461545898","0.519273962100451","0.53026560981369","0.539323536565284","0.554306929882707","0.548680689698579","0.551397610211019","0.553446123555788","0.560632656153897","0.705779895447846","0.711500899378481","0.723309998340593","0.731844152641078","0.734362308971804","0.736218215388041","0.738884638465542","0.742495774227149","0.745028111262927","0.741439506718189","0.735279068198795","0.721833616098991","0.709874590850017","0.701125997359204","0.688545090487146","0.686720483377215","0.682621757503082","0.678233981132507","0.656328009600346","0.64122788740431","0.627878780205223","0.604573547840118","0.588248185019342","0.603563370465281","0.607839175148891",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12769986202816","1.0996555267738","1.09458049484396","1.08290135138507","1.0574797166616","1.07623522251658","1.11790062595723","1.08848450156756","1.03059304279485","1.10201530559721","1.20109402020792","1.14704864739126","1.17208782920242","1.19620319798496","1.26390983779061","1.42801276557292","1.5510033726592","1.69936532610062","1.9762383266724","1.66591143857431","1.91794288360961","2.12660837173462","2.1879699726825","2.2341905856946","2.21351673547793","2.22924693053669","2.24174884422555","2.28525042533875","2.23515868186951","2.1137228012085","2.08898448944092","2.36256718635559","2.48386988256502","2.36632559210941","2.32608612629563",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293939470110215","0.683806375949621","0.776023252812357","0.731059830393017","0.736171486524754","0.743875471066843","0.730119100894244","0.714412313957507","0.694425180472247","0.672159933949251","0.664089244713395","0.642348668915945","0.825786930673051","0.894793043859227","1.03137254896541","1.10319436905862","1.21724697690634","1.36219731623736","1.64611838124372","1.88761027800908","2.25500157952188","2.73312783241272","3.22003163590423","3.94556760852856","5.46151378584004","6.88258971224653","9.32211732577767","10.2927856445313","13.5268135070801","20.3836688995361","26.8871841430664","38.783332824707","61.4990445368971","139.721870365666","420.076325493645",
